Date,Open,High,Low,Close,Adj Close,Volume
2021-07-12,176.710007,192.770004,176.009995,187.490005,185.957138,3652500
2021-07-13,185.899994,188.990005,184.050003,184.860001,183.348633,1098900
2021-07-14,185.500000,190.529999,181.339996,182.520004,181.027786,1126600
2021-07-15,182.649994,190.320007,182.649994,185.830002,184.310684,1478700
2021-07-16,187.000000,188.940002,179.460007,180.660004,179.182968,978100
2021-07-19,174.199997,179.649994,170.240005,178.080002,176.624069,1756500
2021-07-20,179.000000,188.710007,178.570007,187.250000,185.719086,1268200
2021-07-21,194.000000,198.330002,189.229996,190.220001,188.664795,1826100
2021-07-22,191.940002,194.330002,189.289993,192.759995,191.184021,811300
2021-07-23,192.070007,193.679993,186.250000,190.350006,188.793747,905500
2021-07-26,191.000000,194.919998,190.520004,194.839996,193.247025,1038200
2021-07-27,191.570007,191.990005,184.949997,188.990005,187.444870,1197000
2021-07-28,190.009995,195.500000,189.380005,194.539993,192.949493,774900
2021-07-29,197.190002,211.000000,195.809998,202.820007,201.161789,2550000
2021-07-30,202.820007,207.589996,201.509995,206.039993,204.355453,1556400
2021-08-02,208.360001,208.960007,204.630005,206.899994,205.208420,1109900
2021-08-03,204.789993,207.809998,201.550003,206.979996,205.287781,1046900
2021-08-04,209.100006,212.039993,206.070007,206.839996,205.148926,1153700
2021-08-05,209.860001,226.220001,208.309998,218.619995,216.832596,2505200
2021-08-06,221.000000,227.389999,215.020004,226.710007,224.856461,1651300
2021-08-09,224.710007,232.529999,220.080002,231.380005,229.488297,1425200
2021-08-10,232.300003,242.009995,232.300003,239.029999,237.075745,1977900
2021-08-11,240.000000,242.070007,227.740005,235.990005,234.060608,1916300
2021-08-12,235.610001,237.559998,230.419998,236.539993,234.606079,1089600
2021-08-13,237.960007,239.960007,233.149994,235.220001,233.296890,849200
2021-08-16,232.449997,232.449997,221.350006,225.899994,224.053070,2147800
2021-08-17,221.380005,223.750000,210.759995,216.449997,214.680328,2133000
2021-08-18,217.309998,221.679993,215.149994,217.729996,215.949890,946100
2021-08-19,211.100006,217.070007,210.520004,213.350006,211.605713,1361800
2021-08-20,213.820007,220.509995,213.729996,219.679993,217.883926,1116800
2021-08-23,225.130005,230.240005,222.570007,227.940002,226.076401,1550100
2021-08-24,228.130005,229.300003,222.050003,229.199997,227.326096,1208600
2021-08-25,229.550003,240.539993,227.500000,234.169998,232.255478,1834600
2021-08-26,232.899994,236.399994,230.449997,230.699997,228.813843,908400
2021-08-27,232.690002,237.850006,232.690002,236.649994,234.715210,985000
2021-08-30,240.710007,244.429993,236.880005,236.979996,235.042496,1119600
2021-08-31,237.009995,237.100006,230.580002,236.740005,234.804459,833100
2021-09-01,236.740005,241.300003,233.660004,239.199997,237.244354,924000
2021-09-02,240.000000,248.710007,240.000000,244.029999,242.034866,1092800
2021-09-03,243.460007,245.539993,239.660004,241.860001,239.882614,860500
2021-09-07,241.000000,241.869995,238.139999,238.779999,236.827789,1042300
2021-09-08,243.750000,243.750000,235.339996,239.279999,237.323700,1203200
2021-09-09,238.000000,247.929993,237.729996,243.410004,241.419937,1172100
2021-09-10,249.839996,253.100006,240.970001,241.169998,239.198257,1536200
2021-09-13,242.929993,243.250000,222.449997,229.130005,227.256699,2522900
2021-09-14,232.199997,235.000000,228.740005,230.470001,228.585724,1322400
